line,source,inputRms,inputPeak,outputRms,outputPeak,raw
948386,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36731, regionSamples=2048, queuedSampleValues=1889280, sourcePlaying=True"
948393,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948397,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13661, sequence=13660, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948411,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36826, regionSamples=2048, queuedSampleValues=1891840, sourcePlaying=True"
948418,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948422,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13689, sequence=13688, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948436,HL2SSMicrophoneClient,,,,,"test_microphone: packets=36921, regionSamples=2048, queuedSampleValues=1894400, sourcePlaying=True"
948443,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948447,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13717, sequence=13716, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948461,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37014, regionSamples=2048, queuedSampleValues=1892864, sourcePlaying=True"
948468,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
948472,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=13745, sequence=13744, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
948486,HL2SSMicrophoneClient,,,,,"test_microphone: packets=37109, regionSamples=2048, queuedSampleValues=1895424, sourcePlaying=True"
948493,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
